date,time,message
6/9/2026,09:57,Ivy get adblock
6/9/2026,10:12,If jide new I had money on him he would get sub 9 for me
6/9/2026,10:12,*knew
6/9/2026,10:14,Im this close to ubering a burger
6/9/2026,10:17,Im here
6/9/2026,10:18,first eu friendly stream ever
6/9/2026,10:34,LOL
6/9/2026,10:43,Bros monitors is 1000000 lumens
6/9/2026,10:45,I was like the 5 guys in the gtw discord
6/9/2026,10:48,Nvm I was the seconds guy in the gtw discord
6/9/2026,10:49,Yeah it was me then bambee then dullfin
6/9/2026,10:50,I remember being a shy little guy DMing Lime to make a modding channel
6/9/2026,10:51,!raid
6/9/2026,21:58,Damn you have motion now like 10 views every stream
6/9/2026,22:17,Lime is to much of a bigot to stream during pride month(Deleted by DaGreenestBean)
6/9/2026,22:17,!vanish
6/9/2026,22:17,I wish I could delete my own message
6/9/2026,22:29,catJAMFASTER catJAMFASTER
6/9/2026,22:31,Cow meat gonna is like 60% of my diet
6/9/2026,22:31,I only smoke when Im super drunk
6/9/2026,22:37,!slots 1000
6/9/2026,22:37,HOLY
6/9/2026,22:37,!points
6/9/2026,22:38,!gamble 2000
6/9/2026,22:38,!points
6/9/2026,22:38,Watch this yall
6/9/2026,22:38,!gamble 4601
6/9/2026,22:39,!gamble 4602
6/9/2026,22:39,ok man universe wont let me gamble
6/9/2026,22:39,!gamble 4601
6/9/2026,22:40,ok now we double it guys to win it all back
6/9/2026,22:40,!gamble 9202
6/9/2026,22:40,Dullfin lost everything lmao
6/9/2026,22:41,!gamble 9202
6/9/2026,22:41,Ok now we double it agian to win it all back
6/9/2026,22:41,!gamble 18404
6/9/2026,22:42,!gamble 18404 ͏
6/9/2026,22:42,!gamble 18404 ͏
6/9/2026,22:42,Ok yall I lost everything
6/9/2026,22:43,!gamble all
6/9/2026,22:46,!gamble all win
6/9/2026,22:46,gg I lost everything
6/9/2026,22:46,@Dullfin Yeah I couldve had 100k
6/9/2026,22:47,Did you upgrade your practicemod green?
6/9/2026,22:48,holy shit I figured out collision
6/9/2026,22:48,Im the smartest man to ever live
6/9/2026,22:48,WWWWWWWW
6/9/2026,22:49,holy shit the rush
6/9/2026,23:05,Tragic
6/9/2026,23:06,gg
6/9/2026,23:09,WAIT
6/9/2026,23:15,Every time I open speeedrun.com I get a noti Ivy has a new record
6/9/2026,23:18,who is this have they streamed for long?
6/9/2026,23:30,"The fix for the SM64 mod was so silly, I was making hitboxes for checkpoint triggers and narrator triggers I was so confused"
6/9/2026,23:32,It is fully playable now
6/9/2026,23:32,lowkey the stupidest thing Ive ever seen lmao
6/9/2026,23:33,Im gonna make some assets for the mod like a custom start screen and Il give like 3 days heads up before the 100$ competion
6/9/2026,23:34,Kittie pays me 1$ a month
6/9/2026,23:35,It will balance out in 3 years
6/9/2026,23:36,@DaGreenestBean Thanks for the gift sub!
6/9/2026,23:37,Atrioc is gonna get mad again if there is copyrighted music
6/9/2026,23:38,Big a is lowkey the main channel now
6/9/2026,23:38,oh lol
6/9/2026,23:39,I thought that too
6/9/2026,23:46,Do you think its worth making custom podcasts
6/9/2026,23:47,@moxio To like put them in custom spots or custom lines for the podcasts
6/9/2026,23:48,Yeah only custom thing not from Mario is cogs and launch pads working
6/9/2026,23:49,Yeah like I coded them to work
6/9/2026,23:49,@moxio A random postcast placement race would be kinda dopoe
6/9/2026,23:50,Wouldnt be that hard to make I think
6/9/2026,23:51,This you? https://github.com/Moxio
6/9/2026,23:51,thats not even a profile haha nvm
6/9/2026,23:53,@moxio Isnt this kinda what green is talking about withouth the seeding part?
6/9/2026,23:55,Mach tuah
6/9/2026,23:57,NORGE NORGE NORGE NORGE NORGE NORGE NORGE NORGE NORGE NORGE NORGE NORGE
6/9/2026,23:58,!slots all
6/9/2026,23:59,@moxio slots all trust
6/10/2026,00:00,you know the casino kicks out winners
6/10/2026,00:00,they knew you were gonna win
6/10/2026,00:01,see
6/10/2026,00:01,What can I say
6/10/2026,00:01,!slots all
6/10/2026,00:01,!points
6/10/2026,00:01,hm
6/10/2026,00:02,!loan 2000
6/10/2026,00:05,upload it to the gtw speedrun.com
6/10/2026,00:08,top 500
6/10/2026,00:08,there are 8 billion people on earth top 500 is pretty good
6/10/2026,00:09,Only controversial if you are serbian
6/10/2026,00:09,Its like Taiwan
6/10/2026,10:27,"@tekxbox They could probably allow Xbox players on the leaderboards again. As far as I know, it was only because the Xbox version became outdated at some points, so runs wouldn't be the same and the work to stop stop submissions and allow them was to much. Now that the game isn't getting updates anymore, you could probably get it merged maybe"
6/10/2026,10:28,I mean I dont see why you would have your own catagory the game is exactly the same
6/10/2026,10:28,and some people run controller on pc aswell
6/10/2026,10:29,like kittie
6/10/2026,10:29,Practicing is harder but running is the same but fps is a thing
6/10/2026,10:29,I assume you cant toggle for topgrabs etc
6/10/2026,10:30,I mean everything else about the game is the same other than removing kbm as far as I know
6/10/2026,10:32,@tekxbox controller on pc and Xbox is the exact same
6/10/2026,10:33,There are some Xbox files still in the pc game files
6/10/2026,10:34,But pc 100% has higher fps which does affect some gameplay ig
6/10/2026,10:35,he is in chat cant you just check a vod from chat?
6/10/2026,10:36,Do you know if the Xbox versions and Pc versions are synced?
6/10/2026,10:36,I assume but idk
6/10/2026,10:37,Ah true I forgot this
6/10/2026,10:39,Being the best xbox player is awesome!
6/10/2026,10:40,catJAMFASTER
6/10/2026,10:41,it is kinda queit
6/10/2026,10:41,but W quality
6/10/2026,10:42,There is some background noise
6/10/2026,10:43,I hear like the ambiance of the room or something
6/10/2026,10:44,I think a noise gate would help it
6/10/2026,10:45,I cant hear the wind outside anymore
6/10/2026,10:45,Yeah
6/10/2026,10:46,Lowkey I donnu what any of this means
6/10/2026,10:50,Non of the get to work people are awake during EU times
6/10/2026,10:52,Mic is good rn
6/10/2026,10:53,I donnu how hard its gonna be
6/10/2026,10:54,Ive played so much while testing so challange runs sometimes seem easier than they are for new players
6/10/2026,10:59,Ive never seen that before
6/10/2026,11:00,Thats kinda sick
6/10/2026,11:01,Ivy is the only player that does runs most of her stream
6/10/2026,11:02,audio levels sound good to me
6/10/2026,11:03,I can send you one
6/10/2026,11:05,freeze after teleport turns of the momentum yeha
6/10/2026,11:05,In the next version you can set freeze after teleport to checkpoints instead of global
6/10/2026,11:07,kittttiieeeeee
6/10/2026,11:11,temp checkpoint is easier for this if its one time
6/10/2026,11:13,@Kittie1786_ There is also a problem of the checkpoint UI being kinda ass so if you have many checkpoints scrolling to find plaes is annoying
6/10/2026,11:13,and everyone uses a bugged practice mod that has this tiny checkpoint menu lol
6/10/2026,11:13,let me send a screenshot of something Im working on
6/10/2026,11:14,Him and some guy I dont even know who is
6/10/2026,11:14,There is a guy who doesn't answer my dms on kofi and just likes posts and sends me money
6/10/2026,11:15,like 100$ for a mic
6/10/2026,11:15,W kittie
6/10/2026,11:16,https://imgur.com/a/HmBc37v
